city,location_lat,location_lng,numberOfGuests,minNights,bedroomLabel,bedLabel,bathroomLabel,stars,pricing,roomType_entire_home,roomType_hotel_room,roomType_private_room,roomType_shared_room,zipcode,district_index
Şişli,41.05378,28.9929,2,1,1.0,0.0,1.0,4.59,1836.0,1,0,0,0,34360,54.677
Beşiktaş,41.04463898,29.00471714,8,1,1.0,3.0,1.0,4.76,1790.0,1,0,0,0,34353,88.235
Fatih,41.017,28.93,3,2,1.0,0.0,1.0,4.77,1766.0,1,0,0,0,34096,32.000
,40.99435,29.05131,4,28,1.0,2.0,1.0,4.75,1414.0,1,0,0,0,34720.0,
Beyoğlu,41.02448,28.97892,2,1,1.0,1.0,1.0,4.68,1869.0,1,0,0,0,34421,60.000
Beyoğlu,41.031,28.967,3,1,1.0,0.0,1.0,4.2,1400.0,1,0,0,0,34421,60.000
Beyoğlu,41.037,28.975,4,2,2.0,2.0,1.0,5.0,1755.0,1,0,0,0,34421,60.000
Maltepe,40.92187,29.15926,2,2,1.0,1.0,1.0,4.66,1877.0,1,0,0,0,34854,48.076
Beyoğlu,41.03657,28.97342,4,2,1.0,2.0,1.0,4.62,1422.0,1,0,0,0,34421,60.000
Beyoğlu,41.032,28.989,3,1,1.0,1.0,1.0,4.78,1858.0,1,0,0,0,34421,60.000
Beyoğlu,41.029936,28.981982,2,3,1.0,1.0,1.0,4.8,1413.0,1,0,0,0,34421,60.000
Beyoğlu,41.031,28.98,2,2,1.0,1.0,1.0,4.86,1818.0,0,0,1,0,34421,60.000
Beyoğlu,41.0347,28.97218,4,2,1.0,2.0,1.0,4.63,1422.0,1,0,0,0,34421,60.000
Kadıköy,40.988,29.025,2,3,1.0,1.0,1.0,4.92,1807.0,1,0,0,0,34744,88.888
Beyoğlu,41.02990089,28.97325924,2,2,1.0,0.0,1.0,4.31,1798.0,1,0,0,0,34421,60.000
Istanbul,41.037,28.975,3,2,1.0,2.0,1.0,4.85,1876.0,1,0,0,0,34435.0,
Beyoğlu,41.03342877,28.9861768,4,1,1.0,0.0,1.0,4.89,1798.0,1,0,0,0,34421,60.000
Şişli,41.04729,28.98629,4,14,1.0,2.0,1.0,4.67,1410.0,1,0,0,0,34360,54.677
